#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.326558 0.00777385
37 4.15645 0.0196459
38 5.39154 0.0205971
39 5.39016 0.0205963
40 5.38328 0.0205924
41 5.38213 0.0205918
42 5.40141 0.0206025
43 5.38603 0.020594
44 5.33394 0.0205644
45 5.31764 0.020555
46 5.29217 0.0205401
47 5.34771 0.0205723
48 5.33738 0.0205664
49 5.2589 0.0205203
50 5.27221 0.0205283
51 5.24582 0.0205125
52 5.22883 0.0205022
53 5.19969 0.0204843
54 5.30342 0.0205467
55 5.14025 0.020447
56 5.18477 0.020475
57 5.1834 0.0204742
58 5.12281 0.0204358
59 5.08219 0.0204095
60 5.0099 0.0203612
61 5.00233 0.020356
62 5.02643 0.0203724
63 4.96584 0.0203309
64 4.883 0.0202721
65 4.84697 0.0202458
66 4.81025 0.0202185
67 4.76711 0.0201858
68 4.72167 0.0201507
69 4.69 0.0201257
70 4.63883 0.0200846
71 4.57205 0.0200295
72 4.46029 0.0199333
73 4.33384 0.0198185
74 4.27876 0.0197664
75 4.15002 0.0196394
76 3.5607 0.0189579
77 2.8672 0.0178986
78 2.23313 0.0165998
79 0.67377 0.0106129
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.66274
